==================================================
TRAIN PROFILE
==================================================
         1846352 function calls (1843534 primitive calls) in 0.765 seconds

   Ordered by: cumulative time
   List reduced from 707 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.766    0.766 /home/mjbommar/PycharmProjects/charboundary/charboundary/segmenters.py:143(train)
       11    0.004    0.000    0.479    0.044 /home/mjbommar/PycharmProjects/charboundary/charboundary/segmenters.py:255(_process_text_for_training)
       11    0.000    0.000    0.475    0.043 /home/mjbommar/PycharmProjects/charboundary/charboundary/features.py:540(process_annotated_text)
       11    0.000    0.000    0.472    0.043 /home/mjbommar/PycharmProjects/charboundary/charboundary/features.py:310(get_char_features)
       11    0.017    0.002    0.472    0.043 /home/mjbommar/PycharmProjects/charboundary/charboundary/features.py:421(_get_char_features_numpy)
       11    0.002    0.000    0.431    0.039 /home/mjbommar/PycharmProjects/charboundary/charboundary/features.py:454(<listcomp>)
     4614    0.302    0.000    0.429    0.000 /home/mjbommar/PycharmProjects/charboundary/charboundary/features.py:201(_is_in_list_item)
        1    0.000    0.000    0.196    0.196 /home/mjbommar/PycharmProjects/charboundary/charboundary/models.py:74(fit)
        1    0.000    0.000    0.196    0.196 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/sklearn/base.py:1372(wrapper)
        1    0.000    0.000    0.195    0.195 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/sklearn/ensemble/_forest.py:328(fit)
        2    0.000    0.000    0.167    0.084 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/sklearn/utils/parallel.py:54(__call__)
        2    0.000    0.000    0.167    0.084 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/joblib/parallel.py:1902(__call__)
      204    0.000    0.000    0.167    0.001 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/joblib/parallel.py:1638(_get_outputs)
      169    0.001    0.000    0.152    0.001 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/joblib/parallel.py:1746(_retrieve)
       12    0.151    0.013    0.151    0.013 {built-in method time.sleep}
        1    0.000    0.000    0.090    0.090 /home/mjbommar/PycharmProjects/charboundary/charboundary/models.py:124(get_metrics)
        1    0.000    0.000    0.064    0.064 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/sklearn/ensemble/_forest.py:476(<listcomp>)
      100    0.000    0.000    0.064    0.001 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/sklearn/ensemble/_base.py:135(_make_estimator)
   966009    0.055    0.000    0.055    0.000 {built-in method builtins.len}
      501    0.003    0.000    0.054    0.000 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/sklearn/base.py:231(get_params)
     23/7    0.000    0.000    0.051    0.007 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:185(wrapper)
      501    0.003    0.000    0.050    0.000 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/sklearn/base.py:200(_get_param_names)
        7    0.000    0.000    0.041    0.006 /home/mjbommar/PycharmProjects/charboundary/.venv/lib/python3.11/site-packages/sklearn/metrics/_classification.py:1628(precision_recall_fscore_support)
      507    0.000    0.000    0.041    0.000 /home/mjbommar/.local/share/uv/python/cpython-3.11.11-linux-x86_64-gnu/lib/python3.11/inspect.py:3261(signature)
      507    0.000    0.000    0.041    0.000 /home/mjbommar/.local/share/uv/python/cpython-3.11.11-linux-x86_64-gnu/lib/python3.11/inspect.py:3007(from_callable)




